name,init,mult,size_x,size_y,run_nr,time
TrueTrue128128,True,True,128,128,9,71.97
TrueTrue512256,True,True,512,256,10,71.58
FalseTrue2561024,False,True,256,1024,10,71.69
FalseTrue10241024,False,True,1024,1024,11,73.65
TrueFalse64256,True,False,64,256,4,72.32
FalseFalseNoneNone,False,False,None,None,5,70.96
TrueFalse25664,True,False,256,64,6,72.25
FalseTrue512256,False,True,512,256,4,72.21
TrueFalse64512,True,False,64,512,3,72.04
FalseTrue1024512,False,True,1024,512,3,71.66
TrueFalse128128,True,False,128,128,5,72.36
FalseTrue256256,False,True,256,256,6,72.44
FalseTrue512128,False,True,512,128,10,71.42
FalseTrue102464,False,True,1024,64,3,70.52
TrueFalse10241024,True,False,1024,1024,7,72.59
TrueTrue64256,True,True,64,256,11,71.65
TrueFalse512512,True,False,512,512,4,71.58
TrueFalse128512,True,False,128,512,11,72.76
TrueFalse512128,True,False,512,128,7,72.35
TrueFalse51264,True,False,512,64,7,72.42
FalseTrue1664,False,True,16,64,11,70.82
TrueFalse1664,True,False,16,64,10,72.32
TrueTrue512256,True,True,512,256,2,72.03
FalseTrue25664,False,True,256,64,3,72.08
TrueFalse1616,True,False,16,16,8,72.24
TrueFalse512512,True,False,512,512,7,72.37
FalseTrue1616,False,True,16,16,7,70.87
TrueFalse3232,True,False,32,32,4,72.38
FalseTrue25664,False,True,256,64,6,72.2
TrueFalse51264,True,False,512,64,4,72.37
TrueFalse512512,True,False,512,512,2,72.43
TrueTrue128256,True,True,128,256,0,72.16
TrueTrue256128,True,True,256,128,8,72.04
FalseTrue64512,False,True,64,512,10,73.75
TrueFalse6416,True,False,64,16,6,72.5
FalseTrue128256,False,True,128,256,9,71.88
TrueFalse128512,True,False,128,512,3,72.32
FalseFalseNoneNone,False,False,None,None,11,72.38
FalseTrue5121024,False,True,512,1024,1,72.07
TrueTrue1281024,True,True,128,1024,4,72.12
TrueFalse128128,True,False,128,128,1,72.74
FalseTrue128512,False,True,128,512,7,72.2
TrueFalse256512,True,False,256,512,11,72.68
FalseTrue512512,False,True,512,512,9,72.2
FalseTrue3216,False,True,32,16,9,72.38
TrueTrue1632,True,True,16,32,9,72.6
TrueTrue6432,True,True,64,32,10,72.07
FalseTrue256512,False,True,256,512,5,71.95
TrueTrue256512,True,True,256,512,11,72.08
FalseTrue3232,False,True,32,32,3,70.64
FalseTrue1024256,False,True,1024,256,11,72.19
TrueTrue6416,True,True,64,16,9,71.68
TrueTrue6432,True,True,64,32,6,72.52
TrueFalse5121024,True,False,512,1024,4,72.61
FalseTrue1024128,False,True,1024,128,9,70.57
TrueFalse512256,True,False,512,256,4,72.41
FalseTrue25664,False,True,256,64,10,69.94
TrueTrue1024512,True,True,1024,512,11,72.27
TrueTrue1024256,True,True,1024,256,8,72.18
TrueFalse6464,True,False,64,64,11,72.2
FalseTrue1664,False,True,16,64,10,72.11
TrueTrue641024,True,True,64,1024,0,72.55
TrueFalse128512,True,False,128,512,7,72.56
TrueTrue128512,True,True,128,512,11,72.42
FalseTrue2561024,False,True,256,1024,3,72.54
TrueTrue64512,True,True,64,512,3,71.7
FalseTrue256512,False,True,256,512,0,72.13
TrueTrue64128,True,True,64,128,2,71.75
TrueFalse1024128,True,False,1024,128,9,72.31
FalseTrue1616,False,True,16,16,11,72.96
TrueTrue1664,True,True,16,64,7,72.1
FalseTrue1632,False,True,16,32,6,72.12
TrueTrue64512,True,True,64,512,4,71.96
FalseTrue256128,False,True,256,128,0,72.26
TrueTrue1024256,True,True,1024,256,7,71.62
FalseTrue128512,False,True,128,512,6,72.33
FalseTrue2561024,False,True,256,1024,2,72.27
TrueTrue1024128,True,True,1024,128,0,73.19
TrueTrue1024128,True,True,1024,128,11,73.3
TrueTrue1024512,True,True,1024,512,2,71.97
TrueFalse512128,True,False,512,128,5,72.71
TrueTrue1616,True,True,16,16,4,72.03
FalseTrue3216,False,True,32,16,4,72.68
TrueFalse1024512,True,False,1024,512,11,72.31
FalseTrue1281024,False,True,128,1024,9,72.11
TrueTrue1024256,True,True,1024,256,6,72.25
TrueFalse128256,True,False,128,256,1,72.36
TrueFalse512512,True,False,512,512,3,72.46
FalseTrue1024256,False,True,1024,256,1,74.2
TrueFalse102464,True,False,1024,64,0,72.38
FalseFalseNoneNone,False,False,None,None,1,72.85
TrueFalse10241024,True,False,1024,1024,1,72.41
TrueTrue128256,True,True,128,256,10,71.6
FalseTrue1024128,False,True,1024,128,10,72.87
FalseTrue64512,False,True,64,512,6,72.17
TrueFalse1632,True,False,16,32,4,72.03
TrueFalse1024512,True,False,1024,512,7,72.22
TrueTrue2561024,True,True,256,1024,0,72.32
TrueFalse1281024,True,False,128,1024,10,72.27
TrueFalse51264,True,False,512,64,0,72.62
TrueTrue64512,True,True,64,512,2,72.3
TrueTrue512256,True,True,512,256,6,72.11
TrueTrue12864,True,True,128,64,2,71.43
TrueFalse3264,True,False,32,64,7,71.78
TrueFalse3232,True,False,32,32,9,72.64
TrueTrue1632,True,True,16,32,7,72.23
FalseTrue128256,False,True,128,256,1,72.1
FalseTrue1281024,False,True,128,1024,3,72.28
FalseTrue1024512,False,True,1024,512,10,72.63
TrueTrue6464,True,True,64,64,7,72.34
TrueFalse1616,True,False,16,16,5,72.25
FalseTrue6416,False,True,64,16,5,72.16
TrueTrue64256,True,True,64,256,5,71.78
FalseTrue1024512,False,True,1024,512,8,71.88
TrueTrue51264,True,True,512,64,5,71.61
FalseTrue6464,False,True,64,64,4,71.83
TrueFalse256256,True,False,256,256,8,71.75
TrueTrue6464,True,True,64,64,5,72.17
TrueTrue64256,True,True,64,256,8,72.84
FalseTrue128128,False,True,128,128,7,71.64
FalseTrue128128,False,True,128,128,2,71.34
FalseTrue2561024,False,True,256,1024,6,70.34
FalseTrue128512,False,True,128,512,9,71.5
TrueFalse51264,True,False,512,64,11,72.4
FalseTrue512512,False,True,512,512,7,72.16
TrueTrue128128,True,True,128,128,4,72.14
TrueTrue51264,True,True,512,64,1,72.31
TrueFalse512128,True,False,512,128,3,71.99
TrueTrue2561024,True,True,256,1024,2,72.05
TrueFalse25664,True,False,256,64,10,72.27
TrueFalse64256,True,False,64,256,6,72.57
FalseTrue512512,False,True,512,512,2,72.04
FalseTrue64128,False,True,64,128,7,72.11
FalseTrue1024256,False,True,1024,256,7,70.84
FalseTrue2561024,False,True,256,1024,1,71.93
FalseTrue256256,False,True,256,256,4,72.36
TrueFalse51264,True,False,512,64,8,71.7
TrueFalse51264,True,False,512,64,1,72.5
TrueTrue25664,True,True,256,64,4,71.53
FalseTrue3264,False,True,32,64,10,72.23
TrueFalse64128,True,False,64,128,4,72.65
TrueFalse1632,True,False,16,32,6,72.66
FalseTrue1632,False,True,16,32,8,72.85
TrueTrue128512,True,True,128,512,1,72.07
TrueFalse1024512,True,False,1024,512,6,72.68
TrueFalse10241024,True,False,1024,1024,4,72.6
TrueFalse5121024,True,False,512,1024,2,72.2
FalseTrue64512,False,True,64,512,3,72.45
TrueFalse10241024,True,False,1024,1024,5,72.33
TrueTrue512512,True,True,512,512,6,70.87
TrueFalse6464,True,False,64,64,8,72.36
FalseTrue1616,False,True,16,16,10,72.24
FalseTrue641024,False,True,64,1024,4,72.26
FalseTrue6464,False,True,64,64,7,72.38
TrueTrue6416,True,True,64,16,6,72.26
FalseTrue6464,False,True,64,64,6,70.92
FalseTrue1024256,False,True,1024,256,6,72.22
TrueTrue5121024,True,True,512,1024,9,102.23
TrueFalse3216,True,False,32,16,9,72.56
TrueFalse6432,True,False,64,32,10,72.12
TrueTrue256512,True,True,256,512,8,72.18
TrueFalse1024256,True,False,1024,256,10,72.62
TrueTrue64128,True,True,64,128,0,72.18
FalseTrue1024128,False,True,1024,128,11,73.24
TrueTrue256256,True,True,256,256,3,71.75
FalseTrue1024128,False,True,1024,128,1,73.22
TrueFalse1024256,True,False,1024,256,8,71.75
FalseTrue128128,False,True,128,128,8,71.9
TrueTrue6464,True,True,64,64,1,72.35
TrueTrue2561024,True,True,256,1024,4,72.41
FalseTrue25664,False,True,256,64,7,72.37
TrueTrue512128,True,True,512,128,9,71.6
TrueTrue256512,True,True,256,512,9,72.44
FalseTrue6432,False,True,64,32,6,70.21
