real,kernel,user,max,avg
61.67,21.34,384.22,1501816,0
61.28,21.37,385.09,1503080,0
58.20,21.74,384.09,1502708,0
58.03,22.24,382.59,1503284,0
57.40,21.83,383.19,1503556,0
57.73,21.67,382.52,1502116,0
57.44,22.03,384.38,1501936,0
61.44,21.47,382.27,1502604,0
57.52,22.36,382.98,1503004,0
62.56,21.41,384.40,1501800,0
61.90,22.56,384.93,1504424,0
57.35,21.78,381.59,1503112,0
61.92,21.52,385.07,1501964,0
60.84,22.04,382.37,1501892,0
61.60,21.72,383.68,1503096,0
62.27,22.27,385.20,1501212,0
61.58,22.07,382.97,1502488,0
61.76,22.50,384.03,1502096,0
