name,random_access,elem_size,ins_mix,num_elems,fill_random,repetitions
linked list,1,8,10,1000,1,122497
linked list,0,8,10,1000,0,1551
linked list,0,8,10,1000,1,1550
tiered list,1,8,10,1000,0,75674
tiered list,1,8,10,1000,1,73605
tiered list,0,8,10,1000,0,16630
tiered list,0,8,10,1000,1,16550
array,1,512,10,10,0,49008
array,1,512,10,10,1,48970
array,0,512,10,10,0,40638
array,0,512,10,10,1,40643
linked list,1,512,10,10,0,48238
linked list,1,512,10,10,1,48255
linked list,0,512,10,10,0,36406
linked list,0,512,10,10,1,36450
tiered list,1,512,10,10,0,45265
tiered list,1,512,10,10,1,45722
tiered list,0,512,10,10,0,33605
tiered list,0,512,10,10,1,32952
array,1,512,10,1000,0,15829
array,1,512,10,1000,1,15810
array,0,512,10,1000,0,21211
array,0,512,10,1000,1,21365
linked list,1,512,10,1000,0,48201
linked list,1,512,10,1000,1,48264
linked list,0,512,10,1000,0,1478
linked list,0,512,10,1000,1,1477
tiered list,1,512,10,1000,0,38088
tiered list,1,512,10,1000,1,38469
tiered list,0,512,10,1000,0,13760
tiered list,0,512,10,1000,1,13547
array,1,8M,10,10,0,2
array,1,8M,10,10,1,2
array,0,8M,10,10,0,2
array,0,8M,10,10,1,2
linked list,1,8M,10,10,0,2
linked list,1,8M,10,10,1,2
linked list,0,8M,10,10,0,2
linked list,0,8M,10,10,1,2
tiered list,1,8M,10,10,0,2
tiered list,1,8M,10,10,1,2
tiered list,0,8M,10,10,0,2
tiered list,0,8M,10,10,1,2
array,1,8M,10,1000,0,2
array,1,8M,10,1000,1,2
array,0,8M,10,1000,0,2
array,0,8M,10,1000,1,2
linked list,1,8M,10,1000,0,2
linked list,1,8M,10,1000,1,2
linked list,0,8M,10,1000,0,2
linked list,0,8M,10,1000,1,2
tiered list,1,8M,10,1000,0,2
tiered list,1,8M,10,1000,1,2
tiered list,0,8M,10,1000,0,2
tiered list,0,8M,10,1000,1,2
array,1,8,50,10,0,86308
array,1,8,50,10,1,86389
array,0,8,50,10,0,74932
array,0,8,50,10,1,75850
linked list,1,8,50,10,0,94450
linked list,1,8,50,10,1,94483
linked list,0,8,50,10,0,61071
linked list,0,8,50,10,1,61427
tiered list,1,8,50,10,0,98903
tiered list,1,8,50,10,1,98831
tiered list,0,8,50,10,0,57017
tiered list,0,8,50,10,1,57028
array,1,8,50,1000,0,8447
array,1,8,50,1000,1,8454
array,0,8,50,1000,0,14432
array,0,8,50,1000,1,14431
linked list,1,8,50,1000,0,94482
linked list,1,8,50,1000,1,94510
linked list,0,8,50,1000,0,1535
linked list,0,8,50,1000,1,1532
tiered list,1,8,50,1000,0,45907
tiered list,1,8,50,1000,1,47314
tiered list,0,8,50,1000,0,14760
tiered list,0,8,50,1000,1,14403
array,1,512,50,10,0,44806
array,1,512,50,10,1,44791
array,0,512,50,10,0,38031
array,0,512,50,10,1,37391
linked list,1,512,50,10,0,41203
linked list,1,512,50,10,1,42073
linked list,0,512,50,10,0,32999
linked list,0,512,50,10,1,33101
tiered list,1,512,50,10,0,42066
tiered list,1,512,50,10,1,42066
tiered list,0,512,50,10,0,31905
tiered list,0,512,50,10,1,31904
array,1,512,50,1000,0,7774
array,1,512,50,1000,1,7721
array,0,512,50,1000,0,12278
array,0,512,50,1000,1,12266
linked list,1,512,50,1000,0,42025
linked list,1,512,50,1000,1,42075
linked list,0,512,50,1000,0,1477
linked list,0,512,50,1000,1,1465
tiered list,1,512,50,1000,0,28867
tiered list,1,512,50,1000,1,29271
tiered list,0,512,50,1000,0,12175
tiered list,0,512,50,1000,1,12360
array,1,8M,50,10,0,2
array,1,8M,50,10,1,2
array,0,8M,50,10,0,2
array,0,8M,50,10,1,2
linked list,1,8M,50,10,0,2
linked list,1,8M,50,10,1,2
linked list,0,8M,50,10,0,2
linked list,0,8M,50,10,1,2
tiered list,1,8M,50,10,0,2
tiered list,1,8M,50,10,1,2
tiered list,0,8M,50,10,0,2
tiered list,0,8M,50,10,1,2
array,1,8M,50,1000,0,2
array,1,8M,50,1000,1,2
array,0,8M,50,1000,0,2
array,0,8M,50,1000,1,2
linked list,1,8M,50,1000,0,2
linked list,1,8M,50,1000,1,2
linked list,0,8M,50,1000,0,2
linked list,0,8M,50,1000,1,2
tiered list,1,8M,50,1000,0,2
tiered list,1,8M,50,1000,1,2
tiered list,0,8M,50,1000,0,2
tiered list,0,8M,50,1000,1,2
array,0,8,0,100000,0,87543
array,1,8,0,100000,0,148029
linked list,0,8,0,100000,0,94
linked list,1,8,0,100000,0,147860
tiered list,0,8,0,100000,0,68907
tiered list,1,8,0,100000,0,134328
array,0,8,1,100000,0,2039
array,1,8,1,100000,0,974
linked list,0,8,1,100000,0,94
linked list,1,8,1,100000,0,143732
